NPMS broad habitat,NPMS surveyed
Arable margins,Arable margins
Arable margins,Arable field margins
Bog and wet heath,Blanket bog
Bog and wet heath,Raised bog
Bog and wet heath,Bog and wet heath
Bog and wet heath,Wet heath
"Broadleaved woodland, hedges and scrub",Dry deciduous woodland
"Broadleaved woodland, hedges and scrub","Broadleaved woodland, hedges and scrub"
"Broadleaved woodland, hedges and scrub",Hedgerows of native species
"Broadleaved woodland, hedges and scrub",Wet woodland
"Broadleaved woodland, hedges and scrub",Broadleaved woodland
Coast,Coastal saltmarsh
Coast,Coastal sand dunes
Coast,Coast
Coast,Coastal vegetated shingle
Coast,Machair
Coast,Maritime cliffs and slopes
Freshwater,Nutrient-poor lakes and ponds
Freshwater,Freshwater
Freshwater,Nutrient-rich lakes and ponds
Freshwater,Rivers and streams
Heathland,Dry heathland
Heathland,Heathland
Heathland,Montane dry heathland
Lowland grassland,Dry acid grassland
Lowland grassland,Dry calcareous grassland
Lowland grassland,Lowland grassland
Lowland grassland,Neutral damp grassland
Lowland grassland,Neutral pastures and meadows
Marsh and fen,Acid fens
Marsh and fen,Marsh and fen
Marsh and fen,Base-rich fens
Marsh and fen,"Acid fens, mires and springs"
Marsh and fen,"Base-rich fens, mires and springs"
Native pinewood and juniper scrub,Native pinewood and juniper scrub
Native pinewood and juniper scrub,Native conifer woods and juniper scrub
"Rock outcrops, cliffs and scree",Inland rocks and scree
"Rock outcrops, cliffs and scree","Rock outcrops, cliffs and scree"
"Rock outcrops, cliffs and scree",Montane rocks and scree
"Rock outcrops, cliffs and scree",Rock outcrops
Upland grassland,Montane acid grassland
Upland grassland,Upland grassland
Upland grassland,Montane calcareous grassland
